a,237.617,-560.755,152.7767
b,237.617,560.755,152.7767
c,-483.6086,-550.755,-203.101
d,-483.6086,550.755,-203.101
e,-536.8488,-308.3727,-616.7653
f,-536.8488,308.3727,-616.7653
g,474.192504,-229.7546378,-409.7098923
h,474.192504,229.7546378,-409.7098923
i,5417.5,-982.36,-232.25
j,5417.5,982.36,-232.25
k,6882.5,-982.36,-232.25
l,6882.5,982.36,-232.25
m,5310,-511.36,-321.75
n,5310,511.36,-321.75
o,5320.624,-480.849,-666.24
p,5320.624,480.849,-666.24
q,6869.826,-394.55,-351.8635
r,6869.826,394.55,-351.8635
s,-0.6086,-635.755,161.8986
t,-0.6086,635.755,161.8986
u,5405,-773.36,-378.75
v,5405,773.36,-378.75
w,6895,-773.36,-378.75
x,6895,773.36,-378.75
